tenure,monthly_charges,total_charges,num_services,support_calls,contract_type,payment_method,internet_service,churn
60,61.12,3849.21,3,4.0,Month-to-month,Electronic check,Fiber optic,1
15,86.74,1362.13,4,9.0,Month-to-month,Credit card,Fiber optic,1
58,65.67,,1,,Month-to-month,Bank transfer,DSL,1
1,95.35,91.99,3,9.0,Month-to-month,Bank transfer,DSL,1
58,23.16,1382.86,7,10.0,Month-to-month,Electronic check,Fiber optic,0
57,34.42,2054.4,5,5.0,Month-to-month,Bank transfer,Fiber optic,1
57,81.42,4667.49,5,5.0,Two year,Bank transfer,No,1
48,43.26,,4,6.0,Month-to-month,Credit card,No,0
34,86.61,2693.05,4,0.0,One year,Electronic check,Fiber optic,1
51,55.12,2893.52,7,9.0,Month-to-month,Electronic check,Fiber optic,0
20,108.66,2181.18,7,8.0,Month-to-month,Credit card,Fiber optic,1
57,101.93,5800.98,3,9.0,Month-to-month,Mailed check,DSL,1
41,69.28,2793.85,7,1.0,Month-to-month,Mailed check,Fiber optic,1
34,97.29,,1,8.0,One year,Bank transfer,Fiber optic,0
37,47.11,1622.19,3,3.0,Month-to-month,Mailed check,DSL,1
41,69.43,2880.18,3,9.0,One year,Credit card,DSL,1
3,39.75,108.37,5,,Two year,Credit card,Fiber optic,1
11,106.09,,5,9.0,Month-to-month,Mailed check,Fiber optic,1
18,102.31,1832.82,4,10.0,Two year,Electronic check,DSL,1
9,110.21,1010.65,2,1.0,Month-to-month,Credit card,DSL,1
32,107.75,3151.39,4,3.0,Month-to-month,Bank transfer,DSL,1
49,115.96,5672.82,2,3.0,Month-to-month,Credit card,No,1
48,42.83,1791.25,4,5.0,Two year,Mailed check,No,1
34,113.18,3377.16,3,10.0,One year,Mailed check,No,1
62,77.12,4463.32,7,7.0,Two year,Electronic check,No,0
41,62.25,2197.6,6,5.0,One year,Mailed check,DSL,1
6,76.04,474.28,2,8.0,Month-to-month,Bank transfer,DSL,0
56,54.26,3130.87,7,1.0,Two year,Electronic check,Fiber optic,1
42,48.86,1764.39,5,,Two year,Bank transfer,Fiber optic,1
46,44.13,2065.83,3,5.0,One year,Bank transfer,Fiber optic,0
41,28.24,1102.0,4,2.0,One year,Credit card,DSL,1
40,69.66,2759.63,2,7.0,Two year,Electronic check,No,0
7,108.78,782.31,1,9.0,Month-to-month,Electronic check,DSL,1
41,83.02,3286.03,3,9.0,Two year,Mailed check,Fiber optic,1
58,72.1,3651.82,6,9.0,Two year,Credit card,No,0
22,62.86,1176.2,3,8.0,One year,Electronic check,Fiber optic,1
44,66.44,2775.39,3,5.0,Month-to-month,Credit card,Fiber optic,1
3,40.93,127.68,7,0.0,Month-to-month,Credit card,Fiber optic,1
26,102.29,2565.19,7,10.0,Two year,Electronic check,Fiber optic,0
32,39.84,1178.74,4,4.0,Two year,Mailed check,No,1
71,91.66,5571.93,1,6.0,One year,Mailed check,Fiber optic,1
16,96.0,1586.68,5,0.0,Two year,Mailed check,Fiber optic,0
20,77.49,1418.74,6,9.0,Month-to-month,Credit card,No,1
30,106.29,3159.86,7,,Two year,Mailed check,Fiber optic,1
72,49.11,3496.49,7,10.0,Month-to-month,Bank transfer,Fiber optic,1
62,108.16,6040.54,5,1.0,Month-to-month,Electronic check,Fiber optic,1
3,92.94,240.55,1,9.0,Month-to-month,Bank transfer,DSL,1
17,99.87,1573.85,2,6.0,Month-to-month,Mailed check,Fiber optic,1
60,86.46,4738.49,6,1.0,Month-to-month,Credit card,No,1
5,104.63,517.95,5,,One year,Credit card,DSL,1
62,119.31,7500.46,4,5.0,Month-to-month,Electronic check,DSL,1
21,62.02,1165.0,3,6.0,One year,Bank transfer,DSL,0
67,101.39,6491.83,5,0.0,Month-to-month,Mailed check,Fiber optic,1
22,94.46,1783.28,3,6.0,Two year,Mailed check,DSL,1
32,65.29,1865.42,2,7.0,Month-to-month,Mailed check,Fiber optic,1
48,112.69,5421.84,7,7.0,One year,Credit card,DSL,0
10,59.44,599.56,3,8.0,One year,Mailed check,DSL,0
41,76.55,3155.12,2,6.0,Month-to-month,Electronic check,DSL,1
37,30.59,994.29,1,7.0,Month-to-month,Electronic check,DSL,0
57,42.58,2330.48,4,0.0,Month-to-month,Credit card,No,0
72,104.07,7002.56,7,8.0,Month-to-month,Mailed check,No,1
48,59.66,3001.99,2,4.0,Month-to-month,Electronic check,Fiber optic,1
30,59.41,1748.1,2,6.0,Month-to-month,Mailed check,No,1
30,44.6,1387.56,2,6.0,One year,Credit card,DSL,1
31,69.16,1884.69,1,10.0,Month-to-month,Credit card,No,1
59,100.58,5579.2,5,3.0,Month-to-month,Credit card,Fiber optic,1
24,109.52,2639.84,3,4.0,Month-to-month,Bank transfer,Fiber optic,1
13,27.01,324.29,6,8.0,Month-to-month,Credit card,Fiber optic,1
25,77.48,1891.48,3,6.0,Month-to-month,Credit card,DSL,1
2,66.73,127.1,5,3.0,One year,Electronic check,DSL,1
8,81.43,682.96,1,3.0,One year,Mailed check,DSL,1
7,64.73,400.9,3,9.0,Month-to-month,Bank transfer,Fiber optic,1
56,59.86,3476.42,3,9.0,Month-to-month,Mailed check,Fiber optic,1
53,67.19,3312.91,1,1.0,Month-to-month,Credit card,No,1
51,78.2,3763.26,3,4.0,One year,Credit card,DSL,0
34,70.1,2277.86,4,8.0,Month-to-month,Bank transfer,Fiber optic,1
52,67.21,3156.17,3,1.0,Two year,Electronic check,Fiber optic,0
12,101.78,1273.55,4,2.0,One year,Mailed check,DSL,1
65,94.56,6344.91,6,1.0,One year,Electronic check,DSL,0
37,54.14,2092.48,6,5.0,Month-to-month,Mailed check,Fiber optic,0
68,100.06,7140.09,1,4.0,Two year,Electronic check,Fiber optic,0
11,105.37,1140.48,5,3.0,Month-to-month,Electronic check,DSL,1
36,35.35,1196.67,7,1.0,Month-to-month,Electronic check,DSL,1
51,78.27,4072.19,7,7.0,Two year,Mailed check,DSL,0
36,48.53,1493.34,3,8.0,One year,Electronic check,No,0
33,93.92,,6,2.0,Month-to-month,Electronic check,No,1
12,43.88,499.95,6,7.0,Month-to-month,Mailed check,DSL,1
28,87.14,2402.45,3,8.0,Month-to-month,Bank transfer,Fiber optic,1
18,45.51,757.59,7,6.0,Two year,Bank transfer,No,0
22,71.11,1445.09,5,6.0,Month-to-month,Mailed check,DSL,1
50,114.86,4917.98,6,1.0,Month-to-month,Bank transfer,DSL,0
46,58.13,2499.52,6,10.0,Month-to-month,Electronic check,DSL,1
44,107.57,4409.67,6,10.0,Two year,Bank transfer,DSL,1
27,118.69,2868.01,7,7.0,One year,Electronic check,No,0
70,107.49,6767.84,7,9.0,Month-to-month,Electronic check,No,1
7,36.59,247.63,3,6.0,Two year,Credit card,Fiber optic,0
25,101.97,2328.88,4,7.0,Month-to-month,Mailed check,DSL,1
9,23.21,212.24,5,9.0,One year,Bank transfer,No,0
25,59.33,1293.8,6,0.0,One year,Mailed check,DSL,1
70,107.07,7236.54,3,2.0,Month-to-month,Bank transfer,DSL,1
27,88.88,2116.61,3,2.0,One year,Bank transfer,DSL,0
66,73.27,4621.34,6,6.0,Two year,Credit card,No,1
36,58.79,2032.86,7,2.0,Month-to-month,Electronic check,Fiber optic,0
51,101.23,5051.52,7,4.0,Month-to-month,Bank transfer,Fiber optic,1
33,90.96,2808.03,2,5.0,Two year,Credit card,Fiber optic,1
20,66.84,1272.49,7,8.0,Month-to-month,Mailed check,DSL,0
56,109.25,5421.71,6,5.0,Month-to-month,Mailed check,Fiber optic,1
70,42.99,2836.58,2,0.0,Month-to-month,Bank transfer,No,1
19,37.04,650.7,1,7.0,Two year,Bank transfer,No,0
57,84.28,4723.38,2,4.0,One year,Mailed check,Fiber optic,1
19,117.2,2086.43,7,1.0,Two year,Credit card,DSL,1
52,44.73,2339.61,6,7.0,Month-to-month,Bank transfer,No,1
57,44.97,2397.18,5,2.0,Two year,Bank transfer,Fiber optic,1
33,33.95,1005.13,5,5.0,Month-to-month,Electronic check,DSL,1
54,106.06,5181.65,3,10.0,One year,Bank transfer,DSL,0
20,42.64,732.6,7,2.0,One year,Credit card,DSL,0
6,70.32,404.19,2,9.0,Month-to-month,Bank transfer,Fiber optic,1
7,119.09,847.11,3,5.0,One year,Bank transfer,Fiber optic,1
33,21.21,702.61,2,10.0,Month-to-month,Bank transfer,DSL,1
65,75.65,4610.21,6,9.0,Month-to-month,Electronic check,DSL,1
10,71.23,633.39,4,9.0,One year,Electronic check,Fiber optic,0
33,100.74,3399.87,5,2.0,Month-to-month,Bank transfer,Fiber optic,1
51,55.53,2439.39,7,8.0,One year,Electronic check,DSL,0
15,61.03,851.23,2,,Month-to-month,Electronic check,DSL,1
52,36.79,1953.87,7,10.0,Month-to-month,Credit card,No,0
23,94.08,2009.42,1,10.0,One year,Mailed check,No,1
59,98.47,5075.24,6,6.0,Month-to-month,Credit card,Fiber optic,1
42,33.67,1277.24,5,10.0,Two year,Credit card,Fiber optic,1
40,59.35,2302.79,6,5.0,Two year,Electronic check,No,1
13,109.29,1250.86,2,0.0,Month-to-month,Credit card,DSL,0
34,20.27,676.08,7,9.0,Month-to-month,Mailed check,No,1
62,49.88,2899.68,6,5.0,Month-to-month,Bank transfer,Fiber optic,1
2,75.5,138.45,1,0.0,One year,Electronic check,Fiber optic,1
55,53.41,2638.46,4,0.0,Month-to-month,Mailed check,Fiber optic,0
36,47.2,1724.12,6,7.0,Two year,Bank transfer,DSL,1
52,66.0,3189.48,4,10.0,Two year,Mailed check,Fiber optic,0
48,38.15,1826.98,3,7.0,Month-to-month,Bank transfer,Fiber optic,0
32,72.96,,2,4.0,One year,Electronic check,DSL,0
23,90.67,1810.91,4,3.0,Month-to-month,Electronic check,Fiber optic,1
46,77.53,3345.63,7,,Month-to-month,Bank transfer,No,1
11,29.31,306.79,5,3.0,Month-to-month,Mailed check,No,1
43,104.44,4228.51,6,3.0,One year,Bank transfer,Fiber optic,0
7,37.5,265.98,6,1.0,Month-to-month,Mailed check,DSL,1
47,96.48,4680.44,6,6.0,Two year,Electronic check,DSL,0
46,56.06,2597.73,3,2.0,Month-to-month,Bank transfer,DSL,1
7,98.28,664.95,6,1.0,One year,Electronic check,No,0
55,40.63,2141.44,3,,Two year,Credit card,Fiber optic,1
30,38.67,1135.65,5,8.0,One year,Electronic check,No,1
57,69.7,3605.67,3,6.0,Month-to-month,Credit card,DSL,0
3,23.29,70.73,7,5.0,Month-to-month,Mailed check,No,1
13,42.53,564.71,6,6.0,Month-to-month,Credit card,No,1
36,92.4,3005.21,5,6.0,Month-to-month,Electronic check,Fiber optic,1
14,103.74,1496.75,4,5.0,Two year,Mailed check,No,0
24,28.08,687.23,4,9.0,Month-to-month,Mailed check,Fiber optic,1
48,108.21,4855.93,6,8.0,Month-to-month,Electronic check,DSL,1
11,99.75,1132.14,2,2.0,One year,Mailed check,DSL,0
49,106.97,4581.56,6,8.0,Month-to-month,Electronic check,DSL,1
8,89.84,614.93,2,1.0,Two year,Mailed check,DSL,1
13,87.42,1045.06,1,0.0,Month-to-month,Mailed check,Fiber optic,1
43,72.51,3002.84,6,4.0,Month-to-month,Electronic check,DSL,1
58,85.28,4551.97,5,4.0,One year,Credit card,DSL,0
13,111.91,1510.72,3,8.0,Month-to-month,Bank transfer,DSL,1
22,30.05,595.61,5,7.0,Two year,Credit card,Fiber optic,0
67,51.58,3131.85,6,0.0,Month-to-month,Credit card,No,1
72,27.25,1916.81,6,5.0,Month-to-month,Mailed check,Fiber optic,1
42,114.48,4090.65,7,8.0,Month-to-month,Mailed check,Fiber optic,1
33,64.53,2119.93,6,8.0,Month-to-month,Credit card,No,0
25,87.53,,4,5.0,One year,Mailed check,Fiber optic,1
45,104.11,4898.35,2,6.0,Month-to-month,Electronic check,Fiber optic,1
43,119.1,5061.3,1,6.0,One year,Bank transfer,Fiber optic,1
22,36.18,684.88,5,2.0,Two year,Credit card,No,0
2,99.95,173.62,5,6.0,Month-to-month,Electronic check,DSL,1
11,108.74,1037.81,5,7.0,One year,Bank transfer,Fiber optic,1
70,24.89,1812.91,1,0.0,Month-to-month,Mailed check,Fiber optic,0
31,95.41,2918.7,5,7.0,Two year,Mailed check,DSL,0
35,55.47,1816.27,6,2.0,Month-to-month,Mailed check,Fiber optic,1
34,84.86,2568.14,6,0.0,One year,Electronic check,No,1
57,71.4,4170.44,4,8.0,Month-to-month,Mailed check,No,1
5,45.97,204.64,1,4.0,Month-to-month,Mailed check,No,1
6,33.52,199.38,4,4.0,Month-to-month,Credit card,Fiber optic,1
20,31.69,635.49,5,6.0,Month-to-month,Electronic check,Fiber optic,1
36,30.33,992.44,4,6.0,Two year,Credit card,No,0
49,83.78,3903.99,5,,Month-to-month,Electronic check,DSL,1
36,55.14,1775.81,4,10.0,Two year,Mailed check,DSL,1
32,41.66,1234.18,4,7.0,Month-to-month,Mailed check,Fiber optic,1
68,89.19,6325.87,3,0.0,Month-to-month,Mailed check,Fiber optic,1
12,88.68,1052.06,5,,Month-to-month,Credit card,Fiber optic,0
42,73.92,3164.63,2,4.0,Month-to-month,Credit card,No,1
40,113.5,4349.86,4,5.0,Two year,Bank transfer,DSL,1
35,58.54,1839.52,3,3.0,Month-to-month,Bank transfer,No,1
59,103.59,6066.44,5,2.0,Two year,Bank transfer,Fiber optic,1
20,27.51,522.75,7,1.0,Month-to-month,Credit card,No,1
69,93.98,5741.29,5,1.0,Month-to-month,Credit card,DSL,1
24,118.84,2659.6,1,10.0,Month-to-month,Credit card,Fiber optic,1
40,104.66,4089.98,5,4.0,One year,Electronic check,Fiber optic,0
38,77.97,2954.17,3,10.0,Month-to-month,Mailed check,Fiber optic,1
62,82.68,4606.59,1,3.0,Two year,Mailed check,DSL,1
32,55.33,1815.18,2,3.0,Month-to-month,Electronic check,DSL,1
21,87.95,1710.11,7,5.0,Month-to-month,Credit card,DSL,1
2,97.04,175.49,3,10.0,One year,Electronic check,Fiber optic,1
27,119.82,2876.12,2,,One year,Credit card,Fiber optic,0
60,69.25,4200.02,1,0.0,Two year,Credit card,Fiber optic,0
1,26.13,24.06,5,2.0,Month-to-month,Bank transfer,Fiber optic,1
65,79.59,,6,10.0,One year,Mailed check,DSL,1
40,31.9,1141.46,3,1.0,Month-to-month,Mailed check,DSL,1
11,44.48,483.03,1,9.0,Two year,Bank transfer,Fiber optic,1
22,52.88,1170.58,3,10.0,Month-to-month,Bank transfer,Fiber optic,1
40,93.1,3418.2,5,2.0,Two year,Bank transfer,Fiber optic,0
23,38.38,917.18,1,6.0,Month-to-month,Bank transfer,Fiber optic,1
8,36.58,250.54,2,6.0,One year,Credit card,No,1
48,24.5,1030.87,1,8.0,Two year,Credit card,No,0
49,107.32,5089.13,4,8.0,Two year,Credit card,Fiber optic,0
9,89.35,796.33,2,0.0,Month-to-month,Mailed check,DSL,1
21,23.99,,2,3.0,Month-to-month,Electronic check,DSL,1
18,22.83,394.84,1,10.0,Two year,Mailed check,Fiber optic,0
48,75.87,3327.39,6,3.0,One year,Mailed check,Fiber optic,1
53,48.25,2457.05,4,2.0,One year,Mailed check,DSL,1
53,79.67,4145.94,7,6.0,Month-to-month,Bank transfer,DSL,1
68,63.46,4507.58,3,2.0,Month-to-month,Credit card,No,1
56,112.33,5920.22,2,1.0,Month-to-month,Credit card,DSL,1
24,48.78,1146.89,2,8.0,One year,Bank transfer,Fiber optic,0
8,87.91,679.09,7,1.0,Month-to-month,Bank transfer,No,1
45,25.41,1044.55,5,9.0,Month-to-month,Mailed check,Fiber optic,1
66,115.59,6870.72,3,2.0,Two year,Bank transfer,DSL,0
71,118.08,8782.53,5,1.0,Month-to-month,Mailed check,No,1
17,93.91,1423.05,4,8.0,Two year,Credit card,Fiber optic,1
18,66.52,1207.0,1,1.0,Month-to-month,Credit card,DSL,0
3,42.0,110.79,5,4.0,Month-to-month,Mailed check,Fiber optic,1
11,101.25,1125.86,1,3.0,Month-to-month,Bank transfer,DSL,1
40,93.64,3322.89,2,5.0,Month-to-month,Electronic check,Fiber optic,1
40,42.2,1761.31,5,5.0,One year,Mailed check,No,0
27,65.12,1735.73,4,2.0,Month-to-month,Credit card,Fiber optic,1
23,66.28,1323.25,2,2.0,Month-to-month,Bank transfer,No,0
60,102.64,6088.41,1,2.0,Month-to-month,Bank transfer,Fiber optic,1
34,88.38,2916.95,5,0.0,One year,Electronic check,No,0
59,84.32,4564.5,5,7.0,Two year,Credit card,Fiber optic,0
70,84.98,5366.51,2,5.0,Month-to-month,Credit card,DSL,1
23,47.05,1075.39,3,1.0,Month-to-month,Mailed check,No,1
15,57.17,856.07,3,3.0,Month-to-month,Credit card,No,1
69,24.57,1551.97,7,7.0,One year,Bank transfer,Fiber optic,0
46,98.69,4654.35,6,3.0,Month-to-month,Mailed check,Fiber optic,1
21,63.3,1201.38,2,4.0,Month-to-month,Mailed check,DSL,1
45,63.82,2481.24,4,8.0,One year,Bank transfer,DSL,0
38,44.54,1641.7,7,7.0,Month-to-month,Mailed check,DSL,1
66,40.94,2354.6,3,7.0,One year,Bank transfer,Fiber optic,0
19,78.78,1355.12,1,4.0,Month-to-month,Electronic check,DSL,0
72,43.26,2963.46,3,5.0,Two year,Mailed check,DSL,0
68,26.42,1629.97,5,9.0,Month-to-month,Bank transfer,No,0
14,96.75,1209.57,7,9.0,Month-to-month,Credit card,Fiber optic,1
12,57.65,685.32,3,0.0,Month-to-month,Mailed check,No,1
39,58.02,2170.91,1,9.0,Month-to-month,Bank transfer,DSL,1
4,63.13,257.05,2,9.0,One year,Mailed check,DSL,1
22,101.5,2157.63,3,10.0,Month-to-month,Credit card,Fiber optic,1
32,52.08,,1,2.0,Month-to-month,Mailed check,DSL,1
70,95.8,6050.5,1,5.0,One year,Bank transfer,Fiber optic,0
72,113.95,8273.43,5,0.0,Month-to-month,Mailed check,No,0
11,86.09,842.23,6,1.0,One year,Mailed check,DSL,0
65,63.17,3689.06,2,6.0,One year,Bank transfer,Fiber optic,1
7,94.78,675.61,4,2.0,Month-to-month,Bank transfer,Fiber optic,0
54,65.79,3546.4,5,2.0,One year,Bank transfer,DSL,0
61,61.44,3645.05,5,3.0,Two year,Credit card,Fiber optic,0
65,72.53,,7,5.0,Two year,Bank transfer,Fiber optic,1
17,51.77,770.48,7,1.0,Month-to-month,Credit card,DSL,1
65,30.43,1879.04,3,8.0,Month-to-month,Mailed check,Fiber optic,1
9,61.49,,7,7.0,Two year,Bank transfer,Fiber optic,1
38,32.39,1160.44,1,8.0,One year,Mailed check,Fiber optic,1
34,61.04,1771.23,7,10.0,Month-to-month,Bank transfer,No,1
23,75.69,1543.9,1,6.0,Month-to-month,Electronic check,Fiber optic,1
2,113.07,218.85,1,3.0,One year,Credit card,Fiber optic,1
56,23.62,1307.96,1,10.0,One year,Bank transfer,No,0
25,82.15,1759.42,1,6.0,Two year,Bank transfer,Fiber optic,1
48,65.77,2710.78,4,5.0,Two year,Credit card,DSL,1
30,22.03,,5,4.0,Month-to-month,Mailed check,DSL,0
27,44.95,1051.87,6,,One year,Mailed check,DSL,0
64,31.85,1953.58,1,10.0,Month-to-month,Bank transfer,DSL,0
7,41.68,,3,9.0,Month-to-month,Credit card,Fiber optic,1
54,47.46,2510.67,1,7.0,Month-to-month,Mailed check,DSL,1
54,60.13,3264.7,2,2.0,Two year,Electronic check,No,1
28,72.9,2131.22,6,10.0,Month-to-month,Electronic check,Fiber optic,1
19,20.1,397.05,5,1.0,Month-to-month,Bank transfer,DSL,0
1,36.19,32.74,2,2.0,Month-to-month,Electronic check,No,1
68,29.36,1708.75,3,0.0,Month-to-month,Bank transfer,Fiber optic,1
69,74.97,4737.8,7,3.0,Month-to-month,Credit card,DSL,0
18,52.91,944.47,5,3.0,Month-to-month,Bank transfer,DSL,1
3,74.84,193.53,2,8.0,Month-to-month,Electronic check,Fiber optic,1
9,42.18,349.99,7,3.0,Month-to-month,Bank transfer,Fiber optic,0
5,22.42,,2,10.0,Two year,Mailed check,Fiber optic,1
60,114.14,6121.57,3,3.0,One year,Electronic check,No,0
65,30.83,1986.37,5,5.0,Two year,Electronic check,Fiber optic,1
12,32.69,385.15,4,6.0,Month-to-month,Bank transfer,No,1
54,34.65,1790.83,1,9.0,Month-to-month,Bank transfer,Fiber optic,1
13,118.13,1585.07,6,8.0,Month-to-month,Mailed check,Fiber optic,1
27,81.77,1922.16,2,9.0,Two year,Credit card,DSL,1
44,81.03,3137.26,5,10.0,Month-to-month,Bank transfer,Fiber optic,1
52,118.67,5718.46,3,1.0,Month-to-month,Credit card,Fiber optic,1
63,28.84,1782.72,6,1.0,Two year,Electronic check,Fiber optic,0
4,117.45,454.21,7,4.0,Two year,Mailed check,Fiber optic,1
15,40.4,524.07,6,1.0,Month-to-month,Electronic check,Fiber optic,1
21,82.31,1800.56,7,5.0,One year,Mailed check,Fiber optic,1
23,62.01,1299.31,4,6.0,Month-to-month,Credit card,Fiber optic,1
